User Language,"Please answer 13 questions about one of your classes this fall. 
1.  What college are you attending?","2.  What class you are taking?  
     (Please choose one. If you like, you can do the survey again for another class.)",3.  Is this class on campus (in person) or online?,4.  Instruction is at the right level for me in this class.,5.  The pace of this class is okay for me.,6.  How does the teacher of this class help you learn?       Choose the answers that are true for you.,7.  What other things does the teacher do to help you learn?,8.  The teacher helps me to feel welcome in this class.,9.  The teacher of this class speaks to all students with respect.,"13.  I would recommend this class to a friend,",10.  The books and materials for this class are at the right level for me.,11.  I have access to the books and materials I need for this class.,"12. My teacher has given me information about student support services, such as tutoring, the wellness center, academic advising, and career planning.","13.  I would recommend this class to a friend,","You selected ""no"" when asked if you would recommend this class to a friend.  Please tell us why not.",,,,,,,,,,,,
EN,Kennedy-King College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.","Mr. Billingsley explain the problems very clearly. He is very patient with me and he tries to make sure I understand before we move on. I am a senior and he speaks to me with respect.  I think he is an amazing instructor. When I pass this test it will be because he was a great help.














",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","She gives us more than what we ask for; fun facts, interesting things about history and the language.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Math,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Es un maestro muy dinÃ¡mico su clase es muy activa y muy claro con sus explicaciones. ,always,always,yes,yes,no,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Reading,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Me interpreta lo que no entiendo ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Suggest where to find information ,always,never,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me learn how to use Zoom.,"Lectura de documentos 
RepeticiÃ³n de verbos ",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.","He help me to improve my knowledge of English language, social skills, American culture and he always ready to answer all the questions and support students in every ways.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",She is an amazing teacher!,always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,no - too difficult,no - too fast,The teacher helps me learn how to take tests.,No sÃ© ,sometimes,always,no,yes,sometimes,not sure,no,Fue complicado utilizar el programa en linea,,,,,,,,,,,,
EN,Truman College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",He helps us understand on what we donâ€™t know,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.","The teacher helps me to improve my English every day with books recommendations, material for study at home, etc.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.","'- Before begin the lesson ,the teacher speak with us about our weekend.Each student told what he did during his weekend.
-The teacher send us a lot of exercises in the email as homework.
- We read the text and answer all the questions about the text and we will do the grammar exercise in the book.
- We spend the last two hours in  the computer Lab. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,My pronunciation and gramma  ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Malcolm X College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.",You tuve ,always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",my teacher helps me how to pronounce a difficult word,sometimes,sometimes,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Nos hace preguntas para  participar en grupos para poder practicar ingles...,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Grammar,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Math,online,yes,yes,The teacher helps me learn how to take tests.,To understand materials ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",teacher teaches us English well. he helps us every lesson. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Cuando algo no entiendo me explica asta que me quede claro.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to take tests.",Grammar,always,always,yes,yes,no,not sure,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,Given  more  examples  in the real  life ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Be patient with the students ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,no - too easy,no - too slow,The teacher helps to make the books and materials interesting.,"Grammar 
",sometimes,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Darnos mucho material de apoyo ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","The teacher recommends us materials and resources that are helpful for us to learn, like books and different link webs. Also, she is doing her best to answer every question that we have.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Everything that I need,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,She is  using videos on YouTube for more information.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Citizenship,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to take tests.",She makes break out rooms. ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Math,on campus (in person),yes,yes,"The teacher helps me understand the materials.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",I just love the fact on how he knows how too break it down and have a lot of patients with me because sometimes I be lost,always,always,yes,no - too difficult,no,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Mr. Shalabi is a good teacher.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",Nos explica las veces que sean necesarias y con mucha paciencia.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Conversaciones de actividades del dÃ­a a dÃ­a ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,no - too slow,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Online assessments and the tests of the previous courses .,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,no - too difficult,no - too slow,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.",Era Dinamico en sus clases.   Pero opto por presencial.,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,no - too difficult,no - too fast,The teacher helps me learn how to use Brightspace.,Help me learn about American story.,sometimes,always,yes,no - too difficult,sometimes,not sure,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",The differents estrategics that he use to teach us English.,always,always,yes,yes,no,no,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,no - too difficult,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.",..,always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Math,online,no - too easy,no - too slow,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,Need help!,always,always,yes,yes,no,not sure,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",How be polite and kind ,always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Wright College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",He is so help full ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
